Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
75,3.0,0.0,317.0,15.0,21.0,1685.0,0.0,37.22996070251744,37.22996070251744,0.0,234.9855499267578,,,,,,,,,,,,,,,,18.902902840381966,13.808209656307668,36.8698696124819,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,353.0,16.0,36.0,1721.0,0.0,179.86588856398836,179.86588856398836,0.0,237.8759913444519,,,,,,,,,,,,,,,,109.7577783368302,61.71233775542631,176.09069924310552,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,386.0,17.0,33.0,1754.0,0.0,99.33200035374253,99.33200035374253,0.0,240.79156112670898,,,,,,,,,,,,,,,,53.71461280986724,36.97706818947572,97.65707520622313,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,406.0,18.0,20.0,1774.0,0.0,30.5867790162186,30.5867790162186,0.0,242.60428738594055,,,,,,,,,,,,,,,,15.34987093901328,11.40330306593757,30.310091689127468,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,452.0,19.0,46.0,1820.0,0.0,229.42084465476987,229.42084465476987,0.0,246.21978735923767,,,,,,,,,,,,,,,,144.6200975917074,80.7965374606203,222.99131147702832,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,467.0,20.0,15.0,1835.0,0.0,12.843674112304834,12.843674112304834,0.0,247.68058466911316,,,,,,,,,,,,,,,,5.149996146934429,4.940079022871574,12.779203373474296,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,26.0,1.0,26.0,1861.0,0.0,76.28887413688027,76.28887413688027,0.0,279.7936146259308,,,,,,,,,,,,,,,,43.666822679729684,26.905229610376587,75.22876551272003,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,64.0,2.0,38.0,1899.0,0.0,127.74219503780353,127.74219503780353,0.0,282.9703965187073,,,,,,,,,,,,,,,,68.81696445886567,47.319110782054736,125.25240279115775,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,127.0,3.0,63.0,1962.0,0.0,348.39757570559,348.39757570559,0.0,288.00390911102295,,,,,,,,,,,,,,,,220.59295064899874,96.53497747124442,334.8350548695726,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,155.0,4.0,28.0,1990.0,0.0,91.96413823548644,91.96413823548644,0.0,290.38909459114075,,,,,,,,,,,,,,,,52.063649246967245,33.4281924786642,90.59695300958094,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
